witness_id,package_id,family,state_count,idempotence_defect,is_idempotent,fixed_point_count,contraction_lambda,fixed_states,unique_fixed_distribution,saturation_max_step,grid_denominator,epsilon,eps_stable_count,bound_holds,bound_lhs_tv,bound_rhs
contractive_unique_object,pkg_contract,stochastic_operator,2,0/1,true,1,0/1,,"[""3/4"",""1/4""]",,4,1/4,3,true,1/2,1/2
noncontractive_multiobject,pkg_multi,state_map,3,0/1,true,2,1/1,u|v,,1,4,1/4,,,,
fixed_idempotent_no_ladder,pkg_fixed,state_map,3,0/1,true,2,1/1,x|y,,1,4,1/4,,,,
lens_extension_escape,pkg_fixed,state_map,3,0/1,true,2,1/1,x|y,,1,4,1/4,,,,
