witness_id,metric_id,cluster_threshold,stable_point_count,cluster_count,points
contractive_unique_object,tv,1/2,3,1,"1/2,1/2;3/4,1/4;1,0"
contractive_unique_object,support_signature,1/2,3,2,"1/2,1/2;3/4,1/4;1,0"
