witness_id,lens_id,horizon,initial_mode,micro_arrow_kl,micro_arrow_kind,macro_arrow_kl_honest,macro_arrow_kind_honest,macro_arrow_kl_proxy,macro_arrow_kind_proxy,proxy_diverges_materially,proxy_explanation,interface_size,definable_predicate_count
hidden_clock_driven,identity,0,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,identity,1,stationary,0.23104906018664843647241070715272552269183337812008508470689333649779787398989824,finite_positive,0.23104906018664843647241070715272552269183337812008508470689333649779787398989824,finite_positive,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,identity,2,stationary,0.46209812037329687294482141430545104538366675624017016941378667299559574797979646,finite_positive,0.46209812037329687294482141430545104538366675624017016941378667299559574797979646,finite_positive,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,identity,3,stationary,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,identity,4,stationary,0.92419624074659374588964282861090209076733351248034033882757334599119149595959294,finite_positive,0.92419624074659374588964282861090209076733351248034033882757334599119149595959294,finite_positive,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,identity,5,stationary,1.1552453009332421823620535357636276134591668906004254235344666824889893699494912,finite_positive,1.1552453009332421823620535357636276134591668906004254235344666824889893699494912,finite_positive,,,false,not_applicable:identity_lens,4,16
hidden_clock_driven,observe_clock_3,0,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_driven,observe_clock_3,1,stationary,0.23104906018664843647241070715272552269183337812008508470689333649779787398989824,finite_positive,0.17328679513998632735430803036454414201887503359006381353017000237334840549242368,finite_positive,0.17328679513998632735430803036454414201887503359006381353017000237334840549242368,finite_positive,false,,3,8
hidden_clock_driven,observe_clock_3,2,stationary,0.46209812037329687294482141430545104538366675624017016941378667299559574797979646,finite_positive,0.46209812037329687294482141430545104538366675624017016941378667299559574797979646,finite_positive,0.34657359027997265470861606072908828403775006718012762706034000474669681098484736,finite_positive,true,,3,8
hidden_clock_driven,observe_clock_3,3,stationary,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,0.68031112166068706294654263772746959459262050224247274941474149079907151785914482,finite_positive,0.51986038541995898206292409109363242605662510077019144059051000712004521647727104,finite_positive,true,,3,8
hidden_clock_driven,observe_clock_3,4,stationary,0.92419624074659374588964282861090209076733351248034033882757334599119149595959294,finite_positive,0.92419624074659374588964282861090209076733351248034033882757334599119149595959294,finite_positive,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,true,,3,8
hidden_clock_driven,observe_clock_3,5,stationary,1.1552453009332421823620535357636276134591668906004254235344666824889893699494912,finite_positive,1.1523928434000736831463447616012482860185269723520293113775914561124733468138134,finite_positive,0.86643397569993163677154015182272071009437516795031906765085001186674202746211837,finite_positive,true,,3,8
hidden_clock_driven,observe_x_binary,0,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_driven,observe_x_binary,1,stationary,0.23104906018664843647241070715272552269183337812008508470689333649779787398989824,finite_positive,0,zero,0,zero,false,,2,4
hidden_clock_driven,observe_x_binary,2,stationary,0.46209812037329687294482141430545104538366675624017016941378667299559574797979646,finite_positive,0,zero,0,zero,false,,2,4
hidden_clock_driven,observe_x_binary,3,stationary,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,0,zero,0,zero,false,,2,4
hidden_clock_driven,observe_x_binary,4,stationary,0.92419624074659374588964282861090209076733351248034033882757334599119149595959294,finite_positive,0,zero,0,zero,false,,2,4
hidden_clock_driven,observe_x_binary,5,stationary,1.1552453009332421823620535357636276134591668906004254235344666824889893699494912,finite_positive,0,zero,0,zero,false,,2,4
hidden_clock_reversible,identity,0,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,identity,1,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,identity,2,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,identity,3,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,identity,4,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,identity,5,stationary,0,zero,0,zero,,,false,not_applicable:identity_lens,4,16
hidden_clock_reversible,observe_clock_3,0,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_clock_3,1,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_clock_3,2,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_clock_3,3,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_clock_3,4,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_clock_3,5,stationary,0,zero,0,zero,0,zero,false,,3,8
hidden_clock_reversible,observe_x_binary,0,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_reversible,observe_x_binary,1,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_reversible,observe_x_binary,2,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_reversible,observe_x_binary,3,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_reversible,observe_x_binary,4,stationary,0,zero,0,zero,0,zero,false,,2,4
hidden_clock_reversible,observe_x_binary,5,stationary,0,zero,0,zero,0,zero,false,,2,4
